respondent_id,xyz_vaccine,seasonal_vaccine
0,0.1,0.1
1,0.3,0.1
2,0.0,0.1
3,0.0,0.9
4,0.0,0.1
5,0.1,0.9
6,0.0,0.1
7,0.6,0.2
8,0.0,0.3
9,0.2,0.4
10,0.0,0.3
11,0.2,0.4
12,0.1,1.0
13,0.0,0.1
14,0.6,0.6
15,0.1,0.2
16,0.6,1.0
17,0.0,0.4
18,0.4,0.9
19,0.2,0.5
20,0.1,0.5
21,0.6,0.5
22,0.4,0.4
23,0.1,0.1
24,0.3,0.2
25,0.0,0.2
26,0.5,0.9
27,0.1,0.3
28,0.0,0.1
29,0.3,0.6
30,0.0,0.5
31,0.0,0.1
32,0.1,0.2
33,0.7,0.7
34,0.2,0.2
35,0.7,0.6
36,0.1,0.7
37,0.0,0.1
38,0.4,0.8
39,0.1,0.7
40,0.2,0.2
41,0.7,0.8
42,0.0,0.0
43,0.3,0.2
44,0.0,0.1
45,0.0,0.2
46,0.2,0.4
47,0.2,0.2
48,0.3,0.7
49,0.4,0.5
50,0.1,0.5
51,0.2,0.7
52,0.1,0.2
53,0.1,0.3
54,0.0,0.2
55,0.1,0.2
56,0.3,0.9
57,0.1,0.6
58,0.1,0.7
59,0.1,0.2
60,0.8,0.9
61,0.1,0.3
62,0.0,0.1
63,0.8,0.8
64,0.1,0.1
65,0.0,0.1
66,0.0,0.0
67,0.2,0.6
68,0.2,0.9
69,0.1,0.6
70,0.0,0.1
71,0.1,0.9
72,0.2,0.3
73,0.1,0.9
74,0.4,0.6
75,0.8,0.9
76,0.1,0.7
77,0.2,0.9
78,0.3,0.7
79,0.2,0.8
80,0.0,0.1
81,0.2,0.5
82,0.6,0.7
83,0.4,0.7
84,0.5,0.9
85,0.6,0.8
86,0.1,0.1
87,0.1,0.2
88,0.0,0.6
89,0.0,0.1
90,0.3,0.2
91,0.4,0.9
92,0.0,0.1
93,0.2,0.4
94,0.5,0.8
95,0.5,0.4
96,0.8,0.9
97,0.1,0.7
98,0.1,0.0
99,0.1,0.4
100,0.1,0.1
101,0.9,0.8
102,0.2,0.6
103,0.1,0.4
104,0.1,0.4
105,0.2,0.6
106,0.0,0.1
107,0.2,0.5
108,0.3,0.2
109,0.1,0.7
110,0.9,0.9
111,0.0,0.1
112,0.7,0.9
113,0.0,0.3
114,0.1,0.4
115,0.3,0.7
116,0.2,0.5
117,0.4,0.4
118,0.2,0.5
119,0.1,0.3
120,0.0,0.1
121,0.1,0.2
122,0.9,1.0
123,0.5,0.7
124,0.2,0.2
125,0.0,0.7
126,0.0,0.4
127,0.3,0.6
128,0.2,1.0
129,0.0,0.4
130,0.1,0.2
131,0.0,0.5
132,0.1,0.1
133,0.2,0.8
134,0.3,0.7
135,0.1,0.7
136,0.9,1.0
137,0.1,0.3
138,0.1,0.6
139,0.0,0.0
140,0.4,0.8
141,0.1,0.4
142,0.0,0.3
143,0.1,0.4
144,0.1,0.2
145,0.0,0.1
146,0.5,0.9
147,0.1,1.0
148,0.2,0.6
149,0.0,0.0
150,0.1,0.1
151,0.3,0.9
152,0.0,0.3
153,0.0,0.3
154,0.2,0.4
155,0.1,0.6
156,0.1,0.3
157,0.1,0.2
158,0.4,0.7
159,0.2,0.4
160,0.1,0.9
161,0.0,0.1
162,0.2,0.2
163,0.0,0.1
164,0.2,0.6
165,0.2,0.3
166,0.7,0.5
167,0.2,0.3
168,0.5,0.8
169,0.2,0.5
170,0.3,0.1
171,0.2,0.2
172,0.7,0.9
173,0.0,0.1
174,0.1,0.2
175,0.2,0.5
176,0.2,0.1
177,0.1,0.4
178,0.1,0.2
179,0.2,0.3
180,0.0,0.0
181,0.0,0.4
182,0.2,0.6
183,0.1,0.1
184,0.0,0.3
185,0.7,0.8
186,0.1,0.2
187,0.1,0.2
188,0.1,0.4
189,0.3,0.9
190,0.2,0.1
191,0.0,0.2
192,0.8,0.4
193,0.2,0.5
194,0.4,0.3
195,0.8,0.9
196,0.3,0.5
197,0.1,0.2
198,0.4,0.2
199,0.3,0.4
200,0.1,0.3
201,0.1,0.2
202,0.0,0.2
203,0.0,0.1
204,0.6,0.7
205,0.1,0.5
206,0.0,0.1
207,0.3,0.9
208,0.0,0.8
209,0.3,0.6
210,0.0,0.5
211,0.0,0.0
212,0.8,1.0
213,0.2,0.6
214,0.1,0.2
215,0.7,0.9
216,0.1,0.3
217,0.0,0.0
218,0.1,1.0
219,0.4,0.3
220,0.0,0.9
221,0.0,0.1
222,0.1,0.3
223,0.1,0.4
224,0.0,0.4
225,0.4,0.3
226,0.2,0.7
227,0.0,0.1
228,0.7,0.7
229,0.0,1.0
230,0.1,0.7
231,0.1,0.9
232,0.0,0.2
233,0.0,0.1
234,0.1,0.2
235,0.2,0.8
236,0.3,0.6
237,0.1,0.1
238,0.3,1.0
239,0.0,0.3
240,0.1,0.5
241,0.1,0.8
242,0.1,0.2
243,0.0,0.5
244,0.2,0.9
245,0.0,0.2
246,0.1,0.1
247,0.3,0.5
248,0.1,0.3
249,0.0,0.1
250,0.3,0.8
251,0.1,0.8
252,0.0,0.2
253,0.3,0.4
254,0.3,1.0
255,0.5,0.1
256,0.0,0.1
257,0.3,0.9
258,0.0,0.1
